pitches,player_name,total_pitches,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,velocity,whiffs,swings,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,hardhit_percent,obp,xobp,xslg,swing_miss_percent,swing_path_tilt
2891,"Fedde, Erick",2891,0.233,0.148,0.271,0.381,0.293,0.306,0.245,154,661,89.2,284,1316,726,515,100,30,4,20,154,21.2,52,7.2,37.66990291262140,0.291,0.303,0.394,21.6,32.240110675085700
2869,"Canning, Griffin",2869,0.265,0.194,0.284,0.459,0.341,0.333,0.259,174,656,89.4,340,1388,738,537,112,28,3,31,130,17.6,65,8.8,41.899441340782100,0.333,0.328,0.437,24.5,32.093908348836900
2859,"Castillo, Luis",2859,0.238,0.173,0.286,0.412,0.305,0.306,0.244,158,663,92.3,375,1448,717,492,95,36,2,25,175,24.4,45,6.3,41.86991869918700,0.291,0.296,0.404,25.9,31.991299736777300
2851,"Keller, Mitch",2851,0.261,0.185,0.308,0.446,0.331,0.319,0.248,182,697,89.7,292,1357,773,540,110,38,11,23,166,21.5,50,6.5,39.25925925925930,0.321,0.313,0.408,21.5,32.03489242435560
2823,"Crawford, Kutter",2823,0.223,0.196,0.247,0.419,0.304,0.304,0.224,155,695,86.8,372,1469,759,524,89,30,2,34,175,23.1,51,6.7,36.25954198473280,0.284,0.285,0.412,25.3,31.23179250325330
2810,"Gil, Luis",2810,0.193,0.164,0.238,0.357,0.294,0.305,0.211,112,580,93,365,1276,673,407,59,31,2,20,175,26,82,12.2,36.60933660933660,0.301,0.317,0.362,28.6,30.48341757983530
2801,"Blanco, Ronel",2801,0.19,0.162,0.222,0.352,0.277,0.309,0.226,115,605,88.2,397,1363,685,442,64,26,3,22,169,24.7,71,10.4,35.61643835616440,0.275,0.309,0.388,29.1,31.32594506833490
2797,"Flexen, Chris",2797,0.283,0.192,0.318,0.476,0.355,0.333,0.258,180,635,85.4,293,1288,706,519,109,44,3,24,123,17.4,62,8.8,37.37957610789980,0.348,0.326,0.437,22.7,31.452032145508200
2793,"Pfaadt, Brandon",2793,0.259,0.163,0.316,0.421,0.312,0.301,0.246,183,707,89.9,350,1376,759,528,122,31,6,24,185,24.4,41,5.4,39.543726235741400,0.301,0.291,0.397,25.4,33.098732023467200
2791,"Morton, Charlie",2791,0.251,0.176,0.307,0.427,0.335,0.326,0.243,154,613,87.3,340,1302,700,451,94,35,2,23,167,23.9,64,9.1,38.44444444444440,0.338,0.332,0.401,26.1,33.48351800679460
2764,"Gibson, Kyle",2764,0.251,0.167,0.292,0.418,0.323,0.338,0.263,161,641,86.6,307,1186,721,499,104,30,4,23,151,20.9,67,9.3,39.2354124748491,0.323,0.337,0.428,25.9,33.871121753509000
2749,"Miller, Bryce",2749,0.2,0.138,0.237,0.338,0.26,0.299,0.228,131,654,90.9,328,1344,703,485,84,25,1,21,171,24.3,44,6.3,41.49377593361000,0.253,0.28,0.405,24.4,31.625260239824800
2736,"Wacha, Michael",2736,0.249,0.144,0.295,0.393,0.304,0.314,0.255,164,659,86.8,309,1326,722,518,109,33,4,18,150,20.8,48,6.6,33.33333333333330,0.303,0.309,0.409,23.3,32.259333840775500
2735,"Houck, Tanner",2735,0.231,0.089,0.283,0.32,0.275,0.312,0.257,156,674,87.9,290,1281,741,524,118,27,0,11,154,20.8,46,6.2,42.034548944337800,0.295,0.319,0.384,22.6,34.59367228405960
