2023 Next Generation MCAS Achievement Results ,,,,,,,,,,,,,,,,,
District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Lee,01500000,SCI,          50,43,          10,9,          40,35,          49,43,          16,14,         115,99,     497,,
Leicester,01510000,ELA,         197,33,          19,3,         178,30,         277,46,         129,21,         603,99,     489,          45,         464
Leicester,01510000,MATH,         195,32,          10,2,         185,31,         281,47,         127,21,         603,100,     490,          46,         460
Leicester,01510000,SCI,          67,30,           5,2,          62,28,         105,47,          50,23,         222,98,     489,,
Lenox,01520000,ELA,         218,62,          44,13,         174,49,         114,32,          20,6,         352,99,     506,          54,         275
Lenox,01520000,MATH,         192,55,          40,11,         152,43,         141,40,          18,5,         351,99,     504,          48,         272
Lenox,01520000,SCI,          69,62,           9,8,          60,54,          34,30,           9,8,         112,98,     503,,
Leominster,01530000,ELA,         949,35,         115,4,         834,31,"       1,156",43,         573,21,"       2,678",100,     491,          49,"       2,018"
Leominster,01530000,MATH,         957,36,         158,6,         799,30,"       1,201",45,         516,19,"       2,674",100,     493,          53,"       2,020"
Leominster,01530000,SCI,         322,36,          47,5,         275,31,         396,44,         174,20,         892,99,     492,,
Leverett,01540000,ELA,          33,46,           6,8,          27,38,          28,39,          11,15,          72,100,     495,          44,          50
Leverett,01540000,MATH,          30,42,           3,4,          27,38,          35,49,           7,10,          72,100,     494,          50,          48
Leverett,01540000,SCI,           8,35,           0,0,           8,35,          12,52,           3,13,          23,100,     490,,
Lexington,01550000,ELA,"       2,476",76,         825,25,"       1,651",50,         625,19,         174,5,"       3,275",99,     515,          58,"       2,562"
Lexington,01550000,MATH,"       2,586",79,"       1,156",35,"       1,430",44,         528,16,         163,5,"       3,277",99,     520,          59,"       2,566"
Lexington,01550000,SCI,         888,77,         321,28,         567,49,         202,18,          56,5,"       1,146",100,     517,,
Libertas Academy Charter School (District),35140000,ELA,         103,38,          13,5,          90,33,         106,39,          60,22,         269,98,     490,          65,         229
Libertas Academy Charter School (District),35140000,MATH,          82,31,           7,3,          75,28,         132,50,          52,20,         266,99,     489,          67,         225
Libertas Academy Charter School (District),35140000,SCI,          25,28,           0,0,          25,28,          45,51,          18,20,          88,97,     487,,
Lincoln,01570000,ELA,         332,54,          73,12,         259,42,         216,35,          65,11,         613,99,     502,          51,         411
Lincoln,01570000,MATH,         315,51,          67,11,         248,40,         241,39,          58,9,         614,100,     501,          51,         418
Lincoln,01570000,SCI,         113,56,          23,11,          90,45,          70,35,          18,9,         201,100,     501,,
Littleton,01580000,ELA,         484,63,         102,13,         382,49,         240,31,          49,6,         773,99,     506,          59,         619
Littleton,01580000,MATH,         413,54,          74,10,         339,44,         298,39,          60,8,         771,99,     502,          54,         618
Littleton,01580000,SCI,         171,64,          43,16,         128,48,          82,31,          15,6,         268,98,     508,,
Longmeadow,01590000,ELA,         789,64,         179,15,         610,50,         356,29,          82,7,"       1,227",99,     507,          56,         991
Longmeadow,01590000,MATH,         798,65,         172,14,         626,51,         349,28,          81,7,"       1,228",99,     507,          59,         993
Longmeadow,01590000,SCI,         267,63,          64,15,         203,48,         127,30,          27,6,         421,98,     506,,
Lowell,01600000,ELA,"       1,702",26,         204,3,"       1,498",23,"       2,765",42,"       2,186",33,"       6,653",99,     483,          50,"       4,882"
Lowell,01600000,MATH,"       1,739",26,         212,3,"       1,527",23,"       3,095",47,"       1,820",27,"       6,654",99,     486,          51,"       4,877"
Lowell,01600000,SCI,         483,22,          48,2,         435,20,         985,44,         755,34,"       2,223",99,     482,,
Lowell Community Charter Public (District),04560000,ELA,         197,40,          32,7,         165,34,         218,45,          72,15,         487,100,     495,          52,         385
Lowell Community Charter Public (District),04560000,MATH,         161,33,          26,5,         135,28,         248,51,          77,16,         486,100,     491,          50,         384
Lowell Community Charter Public (District),04560000,SCI,          56,36,           8,5,          48,31,          71,46,          27,18,         154,100,     492,,
Ludlow,01610000,ELA,         246,25,          11,1,         235,24,         532,53,         218,22,         996,99,     486,          40,         780
Ludlow,01610000,MATH,         318,32,          27,3,         291,29,         495,50,         185,19,         998,99,     490,          48,         783
Ludlow,01610000,SCI,          87,26,           6,2,          81,25,         176,53,          67,20,         330,98,     487,,
Lunenburg,01620000,ELA,         326,44,          41,6,         285,39,         332,45,          81,11,         739,99,     496,          52,         600
Lunenburg,01620000,MATH,         321,44,          44,6,         277,38,         336,46,          80,11,         737,99,     496,          57,         595
Lunenburg,01620000,SCI,         107,46,          22,9,          85,36,         105,45,          23,10,         235,99,     500,,
Lynn,01630000,ELA,"       1,242",19,          83,1,"       1,159",18,"       2,869",44,"       2,448",37,"       6,559",99,     479,          46,"       4,977"
Lynn,01630000,MATH,         922,14,          72,1,         850,13,"       3,085",47,"       2,576",39,"       6,583",99,     478,          43,"       4,986"
Lynn,01630000,SCI,         462,21,          35,2,         427,19,"       1,014",45,         769,34,"       2,245",99,     482,,
Lynnfield,01640000,ELA,         664,62,         129,12,         535,50,         350,33,          50,5,"       1,064",100,     506,          53,         865
Lynnfield,01640000,MATH,         683,64,         126,12,         557,52,         335,31,          48,5,"       1,066",100,     507,          51,         865
Lynnfield,01640000,SCI,         205,56,          37,10,         168,46,         143,39,          16,4,         364,98,     504,,
Malden,01650000,ELA,         972,36,         160,6,         812,30,"       1,022",38,         690,26,"       2,684",99,     489,          51,"       1,989"
Malden,01650000,MATH,         866,32,         143,5,         723,27,"       1,093",41,         724,27,"       2,683",99,     488,          52,"       1,991"
Malden,01650000,SCI,         294,33,          56,6,         238,27,         365,41,         231,26,         890,99,     488,,
Manchester Essex Regional,06980000,ELA,         325,60,          64,12,         261,48,         177,33,          40,7,         542,99,     505,          51,         433
Manchester Essex Regional,06980000,MATH,         303,56,          68,13,         235,44,         197,36,          40,7,         540,99,     504,          50,         433
Manchester Essex Regional,06980000,SCI,         119,60,          32,16,          87,44,          66,33,          13,7,         198,99,     507,,
Mansfield,01670000,ELA,         832,55,         117,8,         715,47,         525,35,         150,10,"       1,507",99,     501,          54,"       1,207"
Mansfield,01670000,MATH,         875,58,         146,10,         729,48,         522,35,         110,7,"       1,507",99,     504,          51,"       1,208"
Mansfield,01670000,SCI,         227,45,          21,4,         206,41,         231,46,          48,9,         506,99,     497,,
Marblehead,01680000,ELA,         701,60,         130,11,         571,49,         370,32,          94,8,"       1,165",99,     504,          58,         905
Marblehead,01680000,MATH,         688,59,         104,9,         584,50,         381,33,          95,8,"       1,164",99,     503,          59,         908
Marblehead,01680000,SCI,         216,55,          36,9,         180,46,         138,35,          37,9,         391,99,     502,,
Marblehead Community Charter Public (District),04640000,ELA,         109,51,          11,5,          98,46,          75,35,          30,14,         214,99,     498,          51,         200
Marblehead Community Charter Public (District),04640000,MATH,          76,35,           7,3,          69,32,         116,54,          23,11,         215,100,     493,          42,         198
Marblehead Community Charter Public (District),04640000,SCI,          46,52,           7,8,          39,44,          35,39,           8,9,          89,100,     500,,
Marion,01690000,ELA,         110,47,          31,13,          79,34,          87,37,          37,16,         234,99,     500,          52,         166
Marion,01690000,MATH,         124,53,          24,10,         100,43,          86,37,          23,10,         233,99,     502,          52,         165
Marion,01690000,SCI,          23,42,           6,11,          17,31,          24,44,           8,15,          55,96,     497,,
Marlborough,01700000,ELA,         539,25,          63,3,         476,22,         876,41,         725,34,"       2,140",99,     482,          44,"       1,503"
Marlborough,01700000,MATH,         520,24,          70,3,         450,21,         973,45,         647,30,"       2,140",99,     484,          45,"       1,496"
Marlborough,01700000,SCI,         154,22,          14,2,         140,20,         336,47,         222,31,         712,98,     482,,
Marshfield,01710000,ELA,         949,58,         179,11,         770,47,         572,35,         116,7,"       1,637",99,     504,          52,"       1,295"
Marshfield,01710000,MATH,         945,58,         154,9,         791,48,         582,36,         107,7,"       1,634",99,     503,          49,"       1,287"
Marshfield,01710000,SCI,         232,43,          24,4,         208,39,         259,48,          47,9,         538,99,     497,,
Martha's Vineyard Charter Public School (District),04660000,ELA,          54,53,           6,6,          48,48,          41,41,           6,6,         101,98,     500,          39,          80
Martha's Vineyard Charter Public School (District),04660000,MATH,          35,36,           4,4,          31,32,          52,53,          11,11,          98,95,     493,          42,          76
Martha's Vineyard Charter Public School (District),04660000,SCI,          25,60,           4,10,          21,50,          14,33,           3,7,          42,95,     503,,
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,ELA,          18,11,           0,0,          18,11,         111,65,          42,25,         171,100,     481,          45,         106
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,MATH,          18,11,           0,0,          18,11,          98,57,          55,32,         171,100,     478,          43,         106
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,SCI,           9,17,           1,2,           8,15,          34,64,          10,19,          53,100,     485,,
Masconomet,07050000,ELA,         349,61,          75,13,         274,48,         181,32,          44,8,         574,99,     506,          52,         545
Masconomet,07050000,MATH,         316,55,          59,10,         257,45,         219,38,          39,7,         574,99,     503,          46,         544
Masconomet,07050000,SCI,         186,64,          40,14,         146,50,          92,32,          12,4,         290,99,     507,,
Mashpee,01720000,ELA,         240,38,          27,4,         213,34,         285,45,         110,17,         635,99,     492,          45,         500
Mashpee,01720000,MATH,         225,36,          13,2,         212,33,         313,49,          95,15,         633,99,     492,          47,         500
Mashpee,01720000,SCI,          96,42,          13,6,          83,36,          99,43,          36,16,         231,98,     494,,
Match Charter Public School (District),04690000,ELA,         142,26,           5,1,         137,25,         263,48,         139,26,         544,99,     484,          52,         428
Match Charter Public School (District),04690000,MATH,         105,19,           2,0,         103,19,         292,54,         147,27,         544,100,     483,          60,         429
Match Charter Public School (District),04690000,SCI,          30,16,           1,1,          29,15,         105,55,          55,29,         190,99,     482,,
Mattapoisett,01730000,ELA,         146,61,          24,10,         122,51,          79,33,          14,6,         239,100,     504,          60,         184
Mattapoisett,01730000,MATH,         143,60,          24,10,         119,50,          83,35,          14,6,         240,100,     505,          60,         184
Mattapoisett,01730000,SCI,          42,65,          12,18,          30,46,          21,32,           2,3,          65,98,     508,,
Maynard,01740000,ELA,         231,42,          32,6,         199,36,         247,45,          71,13,         549,98,     495,          56,         429
Maynard,01740000,MATH,         205,38,          30,5,         175,32,         281,51,          60,11,         546,98,     495,          60,         428
Maynard,01740000,SCI,          89,49,          10,5,          79,43,          71,39,          22,12,         182,98,     498,,
Medfield,01750000,ELA,         853,73,         169,14,         684,58,         271,23,          46,4,"       1,170",99,     510,          55,         931
Medfield,01750000,MATH,         828,71,         163,14,         665,57,         298,25,          44,4,"       1,170",99,     510,          50,         937
Medfield,01750000,SCI,         262,71,          66,18,         196,53,          93,25,          16,4,         371,98,     510,,
Medford,01760000,ELA,         703,40,         105,6,         598,34,         685,39,         355,20,"       1,743",98,     493,          48,"       1,299"
Medford,01760000,MATH,         630,36,          88,5,         542,31,         800,46,         319,18,"       1,749",99,     492,          50,"       1,298"
Medford,01760000,SCI,         244,43,          42,7,         202,35,         212,37,         115,20,         571,99,     494,,
Medway,01770000,ELA,         551,55,          93,9,         458,46,         350,35,          96,10,         997,99,     501,          45,         777
Medway,01770000,MATH,         575,58,         104,10,         471,47,         341,34,          83,8,         999,100,     503,          46,         777
Medway,01770000,SCI,         176,54,          22,7,         154,47,         118,36,          31,10,         325,99,     499,,
Melrose,01780000,ELA,"       1,058",60,         250,14,         808,46,         552,31,         161,9,"       1,771",98,     504,          51,"       1,394"
Melrose,01780000,MATH,"       1,035",59,         224,13,         811,46,         570,32,         162,9,"       1,767",98,     505,          50,"       1,389"
Melrose,01780000,SCI,         359,61,          83,14,         276,47,         177,30,          53,9,         589,97,     505,,
Mendon-Upton,07100000,ELA,         424,44,          49,5,         375,39,         423,44,         111,12,         958,100,     496,          49,         767
Mendon-Upton,07100000,MATH,         441,46,          50,5,         391,41,         440,46,          77,8,         958,100,     498,          54,         766
Mendon-Upton,07100000,SCI,         160,48,          15,4,         145,43,         149,44,          27,8,         336,100,     498,,
Methuen,01810000,ELA,         996,32,         146,5,         850,27,"       1,343",43,         756,24,"       3,095",99,     488,          50,"       2,361"
Methuen,01810000,MATH,         830,27,          87,3,         743,24,"       1,492",48,         781,25,"       3,103",100,     486,          49,"       2,369"
Methuen,01810000,SCI,         302,29,          41,4,         261,25,         478,46,         252,24,"       1,032",99,     487,,
Middleborough,01820000,ELA,         500,36,          35,2,         465,33,         644,46,         257,18,"       1,401",99,     491,          46,"       1,097"
Middleborough,01820000,MATH,         525,38,          56,4,         469,34,         673,48,         201,14,"       1,399",99,     493,          44,"       1,098"
Middleborough,01820000,SCI,         207,44,          30,6,         177,38,         205,43,          60,13,         472,98,     496,,
Middleton,01840000,ELA,         227,60,          37,10,         190,50,         124,33,          26,7,         377,99,     504,          54,         271
Middleton,01840000,MATH,         206,55,          39,10,         167,44,         149,40,          22,6,         377,99,     503,          56,         272
Middleton,01840000,SCI,          40,45,          18,20,          22,25,          33,38,          15,17,          88,100,     501,,
Milford,01850000,ELA,         625,33,         104,5,         521,27,         777,41,         497,26,"       1,899",100,     488,          51,"       1,398"
Milford,01850000,MATH,         483,25,          33,2,         450,24,         948,50,         471,25,"       1,902",100,     486,          46,"       1,397"
Milford,01850000,SCI,         204,32,          33,5,         171,27,         302,48,         123,20,         629,100,     490,,
Millbury,01860000,ELA,         279,38,          29,4,         250,34,         349,48,          97,13,         725,99,     494,          48,         571
Millbury,01860000,MATH,         300,41,          27,4,         273,38,         315,44,         108,15,         723,99,     494,          44,         571
Millbury,01860000,SCI,         113,42,          12,4,         101,37,         119,44,          39,14,         271,100,     495,,
Millis,01870000,ELA,         286,52,          40,7,         246,45,         209,38,          50,9,         545,98,     500,          54,         433
Millis,01870000,MATH,         270,49,          27,5,         243,45,         233,43,          43,8,         546,98,     499,          55,         434
Millis,01870000,SCI,          97,48,           9,4,          88,43,          90,44,          17,8,         204,98,     498,,
Milton,01890000,ELA,"       1,333",64,         260,13,"       1,073",52,         579,28,         168,8,"       2,080",100,     506,          55,"       1,638"
Milton,01890000,MATH,"       1,279",62,         241,12,"       1,038",50,         650,31,         150,7,"       2,079",100,     506,          53,"       1,634"
Milton,01890000,SCI,         473,69,         129,19,         344,50,         170,25,          39,6,         682,100,     510,,
Mohawk Trail,07170000,ELA,         151,38,          19,5,         132,33,         164,41,          81,20,         396,95,     492,          48,         316
Mohawk Trail,07170000,MATH,         106,27,           7,2,          99,25,         214,54,          77,19,         397,95,     488,          41,         313
Mohawk Trail,07170000,SCI,          61,46,           3,2,          58,44,          50,38,          22,17,         133,90,     492,,
Monomoy Regional School District,07120000,ELA,         433,51,          77,9,         356,42,         331,39,          90,11,         854,99,     500,          53,         669
Monomoy Regional School District,07120000,MATH,         403,48,          54,6,         349,41,         348,41,          93,11,         844,98,     498,          49,         655
Monomoy Regional School District,07120000,SCI,         166,53,          27,9,         139,44,         122,39,          25,8,         313,98,     502,,
Monson,01910000,ELA,         144,35,          12,3,         132,32,         187,45,          82,20,         413,99,     491,          40,         314
Monson,01910000,MATH,          81,20,           4,1,          77,19,         222,54,         109,26,         412,99,     485,          42,         313
Monson,01910000,SCI,          58,45,           2,2,          56,43,          51,39,          21,16,         130,98,     493,,
Mount Greylock,07150000,ELA,         349,60,          71,12,         278,48,         184,32,          49,8,         582,99,     504,          51,         461
Mount Greylock,07150000,MATH,         316,54,          55,9,         261,45,         212,36,          56,10,         584,100,     502,          45,         464
Mount Greylock,07150000,SCI,         111,58,          18,9,          93,48,          64,33,          18,9,         193,98,     503,,
Mystic Valley Regional Charter (District),04700000,ELA,         450,58,          74,10,         376,49,         291,38,          34,4,         775,100,     504,          48,         598
Mystic Valley Regional Charter (District),04700000,MATH,         448,58,         110,14,         338,44,         301,39,          23,3,         772,100,     506,          48,         598
Mystic Valley Regional Charter (District),04700000,SCI,         109,43,          16,6,          93,37,         128,51,          15,6,         252,100,     498,,
Nahant,01960000,ELA,          32,63,           5,10,          27,53,          14,27,           5,10,          51,100,     503,          66,          31
Nahant,01960000,MATH,          26,52,           6,12,          20,40,          20,40,           4,8,          50,100,     500,          52,          30
Nantucket,01970000,ELA,         219,32,          24,3,         195,28,         320,46,         152,22,         691,99,     488,          52,         522
Nantucket,01970000,MATH,         173,25,           9,1,         164,24,         363,52,         157,23,         693,100,     486,          50,         524
Nantucket,01970000,SCI,          95,36,           8,3,          87,33,         121,46,          46,18,         262,100,     492,,
Narragansett,07200000,ELA,         216,30,          15,2,         201,28,         361,49,         153,21,         730,99,     487,          47,         576
Narragansett,07200000,MATH,         238,33,          24,3,         214,29,         352,48,         140,19,         730,100,     490,          53,         574
Narragansett,07200000,SCI,          88,36,           2,1,          86,35,         128,52,          31,13,         247,100,     492,,
Nashoba,07250000,ELA,         886,63,         167,12,         719,51,         427,30,         102,7,"       1,415",99,     505,          52,"       1,164"
Nashoba,07250000,MATH,         833,59,         133,9,         700,49,         496,35,          86,6,"       1,415",99,     504,          50,"       1,164"
Nashoba,07250000,SCI,         303,62,          46,9,         257,52,         155,32,          34,7,         492,99,     505,,
Natick,01980000,ELA,"       1,602",65,         406,16,"       1,196",48,         675,27,         191,8,"       2,468",99,     508,          55,"       1,975"
Natick,01980000,MATH,"       1,626",66,         355,14,"       1,271",51,         689,28,         161,7,"       2,476",99,     507,          53,"       1,982"
Natick,01980000,SCI,         538,64,         126,15,         412,49,         252,30,          55,7,         845,99,     507,,
Nauset,06600000,ELA,         237,47,          54,11,         183,37,         188,38,          76,15,         501,96,     498,          45,         466
Nauset,06600000,MATH,         180,35,          15,3,         165,32,         267,52,          66,13,         513,98,     493,          38,         468
Nauset,06600000,SCI,          66,38,           5,3,          61,35,          84,49,          22,13,         172,97,     494,,
Needham,01990000,ELA,"       1,740",68,         473,19,"       1,267",50,         640,25,         169,7,"       2,549",99,     510,          56,"       2,005"
Needham,01990000,MATH,"       1,750",69,         452,18,"       1,298",51,         666,26,         136,5,"       2,552",99,     510,          57,"       2,007"
Needham,01990000,SCI,         516,64,         127,16,         389,48,         234,29,          56,7,         806,99,     507,,
Neighborhood House Charter (District),04440000,ELA,         105,31,          16,5,          89,27,         151,45,          79,24,         335,99,     489,          53,         266
Neighborhood House Charter (District),04440000,MATH,          76,23,           4,1,          72,22,         166,50,          91,27,         333,99,     484,          44,         262
Neighborhood House Charter (District),04440000,SCI,          28,22,           3,2,          25,19,          63,49,          38,29,         129,98,     482,,
New Bedford,02010000,ELA,"       1,341",24,         135,2,"       1,206",21,"       2,478",44,"       1,855",33,"       5,674",99,     483,          44,"       4,234"
New Bedford,02010000,MATH,"       1,247",22,         143,3,"       1,104",20,"       2,715",48,"       1,680",30,"       5,642",99,     484,          43,"       4,217"
New Bedford,02010000,SCI,         392,21,          26,1,         366,20,         884,47,         588,32,"       1,864",97,     482,,
New Heights Charter School of Brockton (District),35130000,ELA,          54,17,           2,1,          52,16,         160,51,         102,32,         316,99,     479,          45,         291
New Heights Charter School of Brockton (District),35130000,MATH,          42,13,           0,0,          42,13,         174,55,         100,32,         316,99,     480,          50,         292
New Heights Charter School of Brockton (District),35130000,SCI,           8,7,           0,0,           8,7,          63,56,          41,37,         112,100,     477,,
New Salem-Wendell,07280000,ELA,          20,27,           0,0,          20,27,          49,66,           5,7,          74,100,     490,          54,          49
New Salem-Wendell,07280000,MATH,          26,35,           1,1,          25,34,          40,54,           8,11,          74,100,     492,          58,          49
New Salem-Wendell,07280000,SCI,           9,43,           1,5,           8,38,          11,52,           1,5,          21,100,     500,,
Newburyport,02040000,ELA,         518,56,          80,9,         438,47,         322,35,          83,9,         923,99,     502,          52,         710
Newburyport,02040000,MATH,         436,47,          43,5,         393,43,         392,43,          94,10,         922,99,     498,          49,         705
Newburyport,02040000,SCI,         155,50,          20,6,         135,43,         127,41,          29,9,         311,99,     499,,
Newton,02070000,ELA,"       3,482",66,         868,16,"       2,614",50,"       1,392",26,         399,8,"       5,273",99,     508,          56,"       4,118"
Newton,02070000,MATH,"       3,571",68,"       1,014",19,"       2,557",49,"       1,324",25,         375,7,"       5,270",99,     510,          57,"       4,120"
Newton,02070000,SCI,"       1,164",64,         219,12,         945,52,         501,28,         149,8,"       1,814",98,     506,,
Norfolk,02080000,ELA,         285,54,          48,9,         237,45,         193,37,          46,9,         524,100,     502,          49,         388
Norfolk,02080000,MATH,         314,60,          53,10,         261,50,         182,35,          29,6,         525,100,     506,          51,         387
Norfolk,02080000,SCI,          72,56,          15,12,          57,44,          50,39,           7,5,         129,100,     504,,
North Adams,02090000,ELA,         116,23,          11,2,         105,20,         237,46,         160,31,         513,99,     482,          44,         378
North Adams,02090000,MATH,          87,17,           8,2,          79,15,         258,50,         169,33,         514,99,     481,          40,         378
North Adams,02090000,SCI,          34,20,           2,1,          32,19,          83,49,          52,31,         169,97,     482,,
North Andover,02110000,ELA,"       1,107",54,         170,8,         937,46,         717,35,         226,11,"       2,050",99,     500,          54,"       1,622"
North Andover,02110000,MATH,"       1,207",59,         228,11,         979,48,         659,32,         191,9,"       2,057",99,     503,          52,"       1,625"
North Andover,02110000,SCI,         344,49,          47,7,         297,42,         291,41,          73,10,         708,99,     499,,
North Attleborough,02120000,ELA,         865,48,          94,5,         771,43,         750,41,         195,11,"       1,810",99,     497,          46,"       1,451"
North Attleborough,02120000,MATH,         834,46,         102,6,         732,40,         800,44,         188,10,"       1,822",99,     497,          44,"       1,455"
North Attleborough,02120000,SCI,         325,54,          58,10,         267,44,         234,39,          42,7,         601,99,     502,,
North Brookfield,02150000,ELA,          47,22,           6,3,          41,20,          96,46,          66,32,         209,97,     484,          41,         151
North Brookfield,02150000,MATH,          46,22,           2,1,          44,21,         120,57,          44,21,         210,98,     485,          46,         140
North Brookfield,02150000,SCI,          15,23,           0,0,          15,23,          29,45,          21,32,          65,98,     483,,
North Middlesex,07350000,ELA,         633,45,          74,5,         559,39,         611,43,         177,12,"       1,421",99,     496,          47,"       1,109"
North Middlesex,07350000,MATH,         511,36,          53,4,         458,32,         726,51,         188,13,"       1,425",99,     493,          44,"       1,108"
North Middlesex,07350000,SCI,         209,44,          12,3,         197,42,         215,46,          46,10,         470,97,     495,,
North Reading,02170000,ELA,         733,67,         149,14,         584,53,         303,28,          57,5,"       1,093",99,     508,          55,         858
North Reading,02170000,MATH,         759,69,         157,14,         602,55,         294,27,          41,4,"       1,094",100,     510,          55,         856
North Reading,02170000,SCI,         284,76,          83,22,         201,53,          79,21,          13,3,         376,100,     514,,
Northampton,02100000,ELA,         511,47,          84,8,         427,39,         405,37,         172,16,"       1,088",96,     496,          49,         817
Northampton,02100000,MATH,         413,38,          56,5,         357,33,         472,43,         206,19,"       1,091",96,     492,          49,         816
Northampton,02100000,SCI,         158,41,          22,6,         136,36,         163,43,          62,16,         383,94,     495,,
Northborough,02130000,ELA,         594,55,         116,11,         478,44,         373,34,         121,11,"       1,088",99,     501,          52,         839
Northborough,02130000,MATH,         608,56,         126,12,         482,44,         393,36,          89,8,"       1,090",99,     503,          50,         843
Northborough,02130000,SCI,         201,58,          46,13,         155,44,         120,34,          28,8,         349,99,     504,,
Northbridge,02140000,ELA,         264,30,          18,2,         246,28,         407,47,         197,23,         868,98,     487,          41,         685
Northbridge,02140000,MATH,         305,35,          31,4,         274,31,         414,48,         152,17,         871,98,     491,          49,         680
Northbridge,02140000,SCI,          96,32,           6,2,          90,30,         148,49,          55,18,         299,98,     490,,
Norton,02180000,ELA,         423,40,          50,5,         373,35,         471,45,         162,15,"       1,056",98,     494,          49,         842
Norton,02180000,MATH,         372,35,          29,3,         343,33,         539,51,         139,13,"       1,050",98,     493,          43,         835
Norton,02180000,SCI,         129,34,          17,5,         112,30,         173,46,          75,20,         377,97,     492,,
Norwell,02190000,ELA,         679,66,         143,14,         536,52,         292,29,          52,5,"       1,023",99,     507,          56,         807
Norwell,02190000,MATH,         680,66,         132,13,         548,54,         299,29,          45,4,"       1,024",100,     508,          53,         808
Norwell,02190000,SCI,         208,64,          50,15,         158,49,          99,30,          18,6,         325,99,     507,,
Norwood,02200000,ELA,         580,37,          78,5,         502,32,         647,42,         326,21,"       1,553",99,     492,          47,"       1,188"
Norwood,02200000,MATH,         628,40,          98,6,         530,34,         663,43,         267,17,"       1,558",100,     495,          49,"       1,191"
Norwood,02200000,SCI,         200,40,          30,6,         170,34,         196,39,         101,20,         497,98,     493,,
Oak Bluffs,02210000,ELA,         125,46,          22,8,         103,38,         103,38,          44,16,         272,98,     495,          52,         201
Oak Bluffs,02210000,MATH,         123,45,          19,7,         104,38,         112,41,          40,15,         275,100,     496,          57,         203
Oak Bluffs,02210000,SCI,          35,43,           2,2,          33,40,          35,43,          12,15,          82,100,     495,,
Old Rochester,07400000,ELA,         238,57,          61,15,         177,42,         140,33,          41,10,         419,99,     503,          50,         403
Old Rochester,07400000,MATH,         198,47,          21,5,         177,42,         189,45,          30,7,         417,99,     498,          35,         403
Old Rochester,07400000,SCI,          99,52,           8,4,          91,48,          74,39,          17,9,         190,98,     499,,
Old Sturbridge Academy Charter Public School (District),35150000,ELA,          96,41,          10,4,          86,37,         107,46,          31,13,         234,100,     494,          51,         188
Old Sturbridge Academy Charter Public School (District),35150000,MATH,          79,34,           8,3,          71,30,         123,53,          32,14,         234,100,     492,          49,         189
Old Sturbridge Academy Charter Public School (District),35150000,SCI,          26,34,           0,0,          26,34,          39,51,          12,16,          77,100,     491,,
Orange,02230000,ELA,          46,16,           3,1,          43,15,         136,48,         101,36,         283,97,     479,          47,         189
Orange,02230000,MATH,          43,15,           2,1,          41,14,         136,48,         104,37,         283,97,     479,          51,         187
Orange,02230000,SCI,          14,20,           1,1,          13,19,          30,43,          26,37,          70,95,     480,,
Orleans,02240000,ELA,          61,78,           8,10,          53,68,          15,19,           2,3,          78,99,     508,          61,          54
Orleans,02240000,MATH,          52,66,           4,5,          48,61,          21,27,           6,8,          79,99,     505,          70,          54
Orleans,02240000,SCI,          22,71,           2,6,          20,65,           8,26,           1,3,          31,97,     509,,
Oxford,02260000,ELA,         241,34,          17,2,         224,31,         323,45,         153,21,         717,98,     488,          46,         580
Oxford,02260000,MATH,         209,29,          22,3,         187,26,         370,51,         140,19,         719,98,     490,          45,         579
Oxford,02260000,SCI,          67,29,           5,2,          62,27,         122,53,          41,18,         230,97,     489,,
Palmer,02270000,ELA,         169,32,          18,3,         151,29,         212,41,         141,27,         522,99,     487,          46,         429
Palmer,02270000,MATH,         145,28,          14,3,         131,25,         230,44,         142,27,         517,98,     487,          49,         425
Palmer,02270000,SCI,          69,35,           8,4,          61,31,          81,42,          45,23,         195,99,     489,,
Peabody,02290000,ELA,         876,32,          67,2,         809,30,"       1,183",44,         637,24,"       2,696",99,     488,          47,"       2,048"
Peabody,02290000,MATH,         873,33,          68,3,         805,30,"       1,261",47,         548,20,"       2,682",99,     490,          48,"       2,028"
Peabody,02290000,SCI,         273,31,          24,3,         249,28,         398,45,         212,24,         883,99,     488,,
Pelham,02300000,ELA,          41,55,           6,8,          35,47,          25,34,           8,11,          74,97,     500,          43,          49
Pelham,02300000,MATH,          42,58,          12,17,          30,42,          24,33,           6,8,          72,95,     505,          56,          47
Pelham,02300000,SCI,           9,60,           3,20,           6,40,           4,27,           2,13,          15,94,     504,,
Pembroke,02310000,ELA,         546,49,          64,6,         482,43,         476,43,          98,9,"       1,120",99,     499,          48,         927
Pembroke,02310000,MATH,         651,58,         108,10,         543,48,         408,36,          63,6,"       1,122",99,     504,          55,         926
Pembroke,02310000,SCI,         190,48,          19,5,         171,43,         185,47,          22,6,         397,99,     499,,
Pentucket,07450000,ELA,         516,50,          58,6,         458,45,         409,40,         102,10,"       1,027",100,     499,          50,         797
Pentucket,07450000,MATH,         516,50,          79,8,         437,43,         419,41,          90,9,"       1,025",99,     500,          54,         794
Pentucket,07450000,SCI,         160,46,          18,5,         142,41,         155,44,          35,10,         350,98,     498,,
