2023 Next Generation MCAS Achievement Results ,,,,,,,,,,,,,,,,,
District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Beverly,00300000,ELA,         972,46,         147,7,         825,39,         746,35,         386,18,"       2,104",100,     495,          48,"       1,633"
Beverly,00300000,MATH,         942,45,         141,7,         801,38,         838,40,         315,15,"       2,095",99,     496,          47,"       1,630"
Beverly,00300000,SCI,         309,44,          46,7,         263,37,         279,39,         119,17,         707,98,     494,,
Billerica,00310000,ELA,"       1,035",45,         142,6,         893,39,         937,41,         316,14,"       2,288",100,     496,          50,"       1,796"
Billerica,00310000,MATH,         944,41,         117,5,         827,36,"       1,095",48,         246,11,"       2,285",100,     496,          46,"       1,795"
Billerica,00310000,SCI,         312,42,          40,5,         272,37,         324,44,         100,14,         736,100,     495,,
Blackstone-Millville,06220000,ELA,         275,39,          27,4,         248,35,         320,45,         118,17,         713,99,     492,          44,         568
Blackstone-Millville,06220000,MATH,         282,39,          23,3,         259,36,         341,48,          91,13,         714,99,     494,          43,         566
Blackstone-Millville,06220000,SCI,          77,32,           4,2,          73,30,         106,44,          58,24,         241,100,     488,,
Boston,00350000,ELA,"       5,309",29,         954,5,"       4,355",24,"       7,109",39,"       5,677",31,"      18,095",98,     486,          49,"      13,072"
Boston,00350000,MATH,"       4,649",26,         860,5,"       3,789",21,"       7,415",41,"       6,070",33,"      18,134",99,     484,          47,"      13,112"
Boston,00350000,SCI,"       1,404",23,         180,3,"       1,224",20,"       2,493",41,"       2,180",36,"       6,077",97,     482,,
Boston Collegiate Charter (District),04490000,ELA,         143,39,          25,7,         118,32,         180,49,          45,12,         368,99,     495,          50,         341
Boston Collegiate Charter (District),04490000,MATH,         175,48,          30,8,         145,40,         172,47,          20,5,         367,99,     499,          59,         341
Boston Collegiate Charter (District),04490000,SCI,          65,35,          10,5,          55,30,          96,52,          24,13,         185,97,     494,,
Boston Green Academy Horace Mann Charter School (District),04110000,ELA,          32,21,           6,4,          26,17,          70,47,          48,32,         150,98,     482,          48,         146
Boston Green Academy Horace Mann Charter School (District),04110000,MATH,          16,11,           1,1,          15,10,          73,49,          60,40,         149,97,     476,          43,         146
Boston Green Academy Horace Mann Charter School (District),04110000,SCI,           3,6,           1,2,           2,4,          36,67,          15,28,          54,95,     478,,
