2024-25 Enrollment by Selected Population (District) ,,,,,,,,,,,,,
District Name,District Code,High Needs#,High Needs%,English Learners#,English Learners%,First Language Not English#,First Language Not English%,Low Income#,Low Income%,Students with Disabilities#,Students with Disabilities%,Students with Disabilities#,Students with Disabilities%
Concord,00670000,     552,  28.6,      71,   3.7,     181,   9.5,     206,  10.8, , ,     388,  20.1
Concord-Carlisle,06400000,     315,  25.6,      10,   0.8,      98,   8.2,     112,   9.4, , ,     244,  19.8
Conservatory Lab Charter (District),04390000,     358,  78.9,      41,   9.0,      96,  21.1,     322,  70.9, , ,     113,  24.9
Conway,00680000,      61,  40.1,       0,   0.0,       0,   0.0,      39,  25.7, , ,      34,  22.4
Danvers,00710000,"   1,446",  43.9,     203,   6.3,     356,  11.0,     870,  26.9, , ,     758,  23.0
Dartmouth,00720000,"   1,453",  43.5,      57,   1.7,     148,   4.5,     971,  29.5, , ,     708,  21.2
Dedham,00730000,"   1,211",  44.6,     228,   8.5,     447,  16.8,     783,  29.3, , ,     607,  22.3
Deerfield,00740000,     115,  38.2,       1,   0.3,       5,   1.7,      73,  24.3, , ,      73,  24.3
Dennis-Yarmouth,06450000,"   2,082",  67.3,     555,  18.2,     863,  28.3,"   1,681",  55.0, , ,     514,  16.6
Dighton-Rehoboth,06500000,     906,  35.3,      15,   0.6,      77,   3.0,     500,  19.7, , ,     567,  22.1
Douglas,00770000,     411,  36.6,      19,   1.7,      29,   2.6,     264,  23.7, , ,     208,  18.5
Dover,00780000,     115,  23.3,       4,   0.8,      38,   7.7,      23,   4.7, , ,      87,  17.6
Dover-Sherborn,06550000,     244,  22.1,       6,   0.6,      84,   7.8,      65,   6.0, , ,     180,  16.3
Dracut,00790000,"   1,692",  47.8,     217,   6.2,     420,  12.0,"   1,216",  34.8, , ,     627,  17.7
Dudley Street Neighborhood Charter School (District),04070000,     262,  89.4,     104,  35.5,     111,  37.9,     230,  78.5, , ,      61,  20.8
Dudley-Charlton Reg,06580000,"   1,628",  46.5,     109,   3.1,     302,   8.7,"   1,174",  33.8, , ,     728,  20.8
Duxbury,00820000,     614,  22.6,       8,   0.3,      68,   2.5,     204,   7.6, , ,     463,  17.0
East Bridgewater,00830000,     804,  39.5,      66,   3.3,     100,   5.0,     511,  25.4, , ,     404,  19.9
East Longmeadow,00870000,"   1,011",  40.9,      48,   2.0,     173,   7.1,     620,  25.4, , ,     538,  21.7
Eastham,00850000,      87,  48.9,      14,   7.9,      26,  14.7,      62,  35.0, , ,      32,  18.0
Easthampton,00860000,     763,  54.9,      50,   3.7,     105,   7.7,     532,  38.9, , ,     439,  31.6
Easton,00880000,"   1,167",  34.4,     129,   3.8,     305,   9.1,     665,  19.8, , ,     621,  18.3
Edgartown,00890000,     221,  61.7,      72,  20.2,     138,  38.7,     157,  44.0, , ,      88,  24.6
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,     334,  87.2,      55,  14.4,     201,  52.5,     302,  78.9, , ,      96,  25.1
Erving,00910000,      63,  54.8,       2,   1.8,       2,   1.8,      49,  43.4, , ,      25,  21.7
Essex North Shore Agricultural and Technical School District,08170000,     759,  41.5,      41,   2.2,     213,  11.6,     455,  24.9, , ,     381,  20.8
